Name,Gender,Grade,Math,Science,English,Total,score,grade
Navya,Male,11,47.0,63.0,74.0,184,61.333333333333336,C
Rohan,Female,3,16.0,77.0,8.0,101,33.666666666666664,F
Myra,Male,7,74.0,12.0,72.0,158,52.666666666666664,C
Ishaan,Male,3,92.0,27.0,25.0,144,48.0,F
Aarav,Male,9,22.0,87.0,56.0,165,55.0,C
Aditi,Male,1,26.0,22.0,20.0,68,22.666666666666668,F
Saanvi,Female,3,57.0,56.0,91.0,204,68.0,C
Anika,1,10,45.0,5.0,48.0,98,32.666666666666664,F
Krishna,Male,12,12.0,64.0,75.0,151,50.333333333333336,C
Myra,Female,5,99.0,95.0,75.0,269,89.66666666666667,B
Advika,Female,5,91.0,70.0,21.0,182,60.666666666666664,C
Anika,Female,12,41.0,13.0,97.0,151,50.333333333333336,C
Shaurya,Male,3,79.0,80.0,32.0,191,63.666666666666664,C
Ananya,Female,5,3.0,48.0,49.0,100,33.333333333333336,F
Shaurya,Female,3,46.0,51.0,89.0,186,62.0,C
Zara,Female,4,64.0,45.0,41.0,150,50.0,C
Kabir,Female,10,77.0,31.0,75.0,183,61.0,C
Ishaan,1,7,68.0,34.0,72.0,174,58.0,C
Anika,Male,5,35.0,97.0,73.0,205,68.33333333333333,C
Aditi,Female,6,48.0,52.0,38.0,138,46.0,F
Zara,Female,9,29.0,38.0,21.0,88,29.333333333333332,F
Advika,Female,10,26.0,43.0,30.0,99,33.0,F
Arjun,Female,8,17.0,30.0,15.0,62,20.666666666666668,F
Aryan,Male,7,25.0,22.0,72.0,119,39.666666666666664,F
Ananya,Female,4,51.0,35.0,21.0,107,35.666666666666664,F
Arjun,1,9,3.0,16.0,34.0,53,17.666666666666668,F
Arjun,Female,4,11.0,11.0,61.0,83,27.666666666666668,F
Anika,Female,1,24.0,95.0,40.0,159,53.0,C
Aarav,Female,10,71.0,34.0,60.0,165,55.0,C
Zara,1,1,74.0,69.0,51.0,194,64.66666666666667,C
Kabir,Male,8,18.0,36.0,45.0,99,33.0,F
Vihaan,Female,4,63.0,11.0,1.0,75,25.0,F
Ananya,Female,10,14.0,70.0,18.0,102,34.0,F
Reyansh,Male,10,69.0,37.0,27.0,133,44.333333333333336,F
Kabir,Female,8,62.0,90.0,43.0,195,65.0,C
Myra,Female,3,74.0,97.0,70.0,241,80.33333333333333,B
Kabir,Male,10,49.0,75.0,66.0,190,63.333333333333336,C
Aarav,Male,6,22.0,30.0,79.0,131,43.666666666666664,F
Shaurya,Male,6,84.0,72.0,19.0,175,58.333333333333336,C
