Name,Gender,Grade,Math,Science,English,Total,score,grade,passed,score_category,rank
Navya,Male,6,94.0,96.0,94.0,284,94.66666666666669,A,True,High,1
Vihaan,Female,10,99.0,99.0,84.0,282,94.0,A,True,High,2
Krishna,Female,10,98.0,84.0,97.0,279,93.0,A,True,High,3
Aditi,Female,1,92.0,90.0,93.0,275,91.66666666666669,A,True,High,4
Shaurya,Female,4,100.0,93.0,81.0,274,91.33333333333331,A,True,High,5
Myra,Female,5,99.0,95.0,75.0,269,89.66666666666667,B,True,High,6
Vihaan,Female,12,95.0,76.0,96.0,267,89.0,B,True,High,7
Anika,1,3,69.0,97.0,98.0,264,88.0,B,True,High,9
Aryan,Male,12,79.0,87.0,98.0,264,88.0,B,True,High,9
Zara,Male,12,83.0,98.0,83.0,264,88.0,B,True,High,9
Ishaan,Male,7,90.0,97.0,77.0,264,88.0,B,True,High,9
Kabir,Male,6,87.0,90.0,84.0,261,87.0,B,True,High,12
Navya,1,7,94.0,86.0,79.0,259,86.33333333333333,B,True,High,13
Reyansh,Female,3,90.0,73.0,95.0,258,86.0,B,True,High,14
Saanvi,Male,9,80.0,98.0,79.0,257,85.66666666666667,B,True,High,15
Aditi,Male,1,86.0,81.0,89.0,256,85.33333333333333,B,True,High,16
Shaurya,Female,4,71.0,99.0,83.0,253,84.33333333333333,B,True,High,17
Anika,Male,9,70.0,92.0,91.0,253,84.33333333333333,B,True,High,17
Ishaan,Female,10,69.0,90.0,92.0,251,83.66666666666667,B,True,High,20
Aryan,Female,12,57.0,94.0,100.0,251,83.66666666666667,B,True,High,20
Vihaan,Female,9,98.0,55.0,98.0,251,83.66666666666667,B,True,High,20
Isha,Male,3,66.0,90.0,94.0,250,83.33333333333333,B,True,High,22
Shaurya,Male,5,64.0,95.0,89.0,248,82.66666666666667,B,True,High,23
Reyansh,Male,6,100.0,59.0,89.0,248,82.66666666666667,B,True,High,23
Aryan,Male,4,96.0,90.0,61.0,247,82.33333333333333,B,True,High,26
Kabir,Female,6,92.0,63.0,92.0,247,82.33333333333333,B,True,High,26
